"email","first_name","last_name","global_role","course_code","course_role"
"demo.student038@test.com","Demo038","Trialsen038","student","TEST101","student"
"demo.student039@test.com","Demo039","Examstad039","student","TEST101","student"
"demo.student040@test.com","Demo040","Learnset040","student","TEST101","student"
"demo.student041@test.com","Demo041","Teston041","student","TEST101","student"
"demo.student042@test.com","Demo042","Datason042","student","TEST101","student"
"demo.student043@test.com","Demo043","Dummyfield043","student","TEST101","student"
"demo.student044@test.com","Demo044","Studentberg044","student","TEST101","student"
"demo.student045@test.com","Demo045","Pupilton045","student","TEST101","student"
"demo.student046@test.com","Demo046","Samplevik046","student","TEST101","student"
"demo.student047@test.com","Demo047","Mockheim047","student","TEST101","student"
"demo.student048@test.com","Demo048","Trialsen048","student","TEST101","student"
"demo.student049@test.com","Demo049","Examstad049","student","TEST101","student"
"demo.student050@test.com","Demo050","Learnset050","student","TEST101","student"
"demo.student051@test.com","Demo051","Teston051","student","TEST101","student"
"demo.student052@test.com","Demo052","Datason052","student","TEST101","student"
"demo.student053@test.com","Demo053","Dummyfield053","student","TEST101","student"
"demo.student054@test.com","Demo054","Studentberg054","student","TEST101","student"
"demo.student055@test.com","Demo055","Pupilton055","student","TEST101","student"
"demo.student056@test.com","Demo056","Samplevik056","student","TEST101","student"
"demo.student057@test.com","Demo057","Mockheim057","student","TEST101","student"
"demo.student058@test.com","Demo058","Trialsen058","student","TEST101","student"
"demo.student059@test.com","Demo059","Examstad059","student","TEST101","student"
"demo.student060@test.com","Demo060","Learnset060","student","TEST101","student"
"demo.student061@test.com","Demo061","Teston061","student","TEST101","student"
"demo.student062@test.com","Demo062","Datason062","student","TEST101","student"
"demo.student063@test.com","Demo063","Dummyfield063","student","TEST101","student"
"demo.student064@test.com","Demo064","Studentberg064","student","TEST101","student"
"demo.student065@test.com","Demo065","Pupilton065","student","TEST101","student"
"demo.student066@test.com","Demo066","Samplevik066","student","TEST101","student"
"demo.student067@test.com","Demo067","Mockheim067","student","TEST101","student"
"demo.student068@test.com","Demo068","Trialsen068","student","TEST101","student"
"demo.student069@test.com","Demo069","Examstad069","student","TEST101","student"
"demo.student070@test.com","Demo070","Learnset070","student","TEST101","student"
"demo.student071@test.com","Demo071","Teston071","student","TEST101","student"
"demo.student072@test.com","Demo072","Datason072","student","TEST101","student"
"demo.student073@test.com","Demo073","Dummyfield073","student","TEST101","student"
"demo.student074@test.com","Demo074","Studentberg074","student","TEST101","student"
"demo.student075@test.com","Demo075","Pupilton075","student","TEST101","student"
"demo.student076@test.com","Demo076","Samplevik076","student","TEST101","student"
"demo.student077@test.com","Demo077","Mockheim077","student","TEST101","student"
"demo.student078@test.com","Demo078","Trialsen078","student","TEST101","student"
"demo.student079@test.com","Demo079","Examstad079","student","TEST101","student"
"demo.student080@test.com","Demo080","Learnset080","student","TEST101","student"
"demo.student081@test.com","Demo081","Teston081","student","TEST101","student"
"demo.student082@test.com","Demo082","Datason082","student","TEST101","student"
"demo.student083@test.com","Demo083","Dummyfield083","student","TEST101","student"
"demo.student084@test.com","Demo084","Studentberg084","student","TEST101","student"
"demo.student085@test.com","Demo085","Pupilton085","student","TEST101","student"
"demo.student086@test.com","Demo086","Samplevik086","student","TEST101","student"
"demo.student087@test.com","Demo087","Mockheim087","student","TEST101","student"
"demo.student088@test.com","Demo088","Trialsen088","student","TEST101","student"
"demo.student089@test.com","Demo089","Examstad089","student","TEST101","student"
"demo.student090@test.com","Demo090","Learnset090","student","TEST101","student"
"demo.student091@test.com","Demo091","Teston091","student","TEST101","student"
"demo.student092@test.com","Demo092","Datason092","student","TEST101","student"
"demo.student093@test.com","Demo093","Dummyfield093","student","TEST101","student"
"demo.student094@test.com","Demo094","Studentberg094","student","TEST101","student"
"demo.student095@test.com","Demo095","Pupilton095","student","TEST101","student"
"demo.student096@test.com","Demo096","Samplevik096","student","TEST101","student"
"demo.student097@test.com","Demo097","Mockheim097","student","TEST101","student"
"demo.student098@test.com","Demo098","Trialsen098","student","TEST101","student"
"demo.student099@test.com","Demo099","Examstad099","student","TEST101","student"
"demo.student100@test.com","Demo100","Learnset100","student","TEST101","student"
"demo.student101@test.com","Demo101","Teston101","student","TEST101","student"
"demo.student102@test.com","Demo102","Datason102","student","TEST101","student"
"demo.student103@test.com","Demo103","Dummyfield103","student","TEST101","student"
"demo.student104@test.com","Demo104","Studentberg104","student","TEST101","student"
"demo.student105@test.com","Demo105","Pupilton105","student","TEST101","student"
"demo.student106@test.com","Demo106","Samplevik106","student","TEST101","student"
"demo.student107@test.com","Demo107","Mockheim107","student","TEST101","student"
"demo.student108@test.com","Demo108","Trialsen108","student","TEST101","student"
"demo.student109@test.com","Demo109","Examstad109","student","TEST101","student"
"demo.student110@test.com","Demo110","Learnset110","student","TEST101","student"
"demo.student111@test.com","Demo111","Teston111","student","TEST101","student"
"demo.student112@test.com","Demo112","Datason112","student","TEST101","student"
"demo.student113@test.com","Demo113","Dummyfield113","student","TEST101","student"
"demo.student114@test.com","Demo114","Studentberg114","student","TEST101","student"
"demo.student115@test.com","Demo115","Pupilton115","student","TEST101","student"
"demo.student116@test.com","Demo116","Samplevik116","student","TEST101","student"
"demo.student117@test.com","Demo117","Mockheim117","student","TEST101","student"
"demo.student118@test.com","Demo118","Trialsen118","student","TEST101","student"
"demo.student119@test.com","Demo119","Examstad119","student","TEST101","student"
"demo.student120@test.com","Demo120","Learnset120","student","TEST101","student"
"demo.student121@test.com","Demo121","Teston121","student","TEST101","student"
"demo.student122@test.com","Demo122","Datason122","student","TEST101","student"
"demo.student123@test.com","Demo123","Dummyfield123","student","TEST101","student"
"demo.student124@test.com","Demo124","Studentberg124","student","TEST101","student"
"demo.student125@test.com","Demo125","Pupilton125","student","TEST101","student"
"demo.student126@test.com","Demo126","Samplevik126","student","TEST101","student"
"demo.student127@test.com","Demo127","Mockheim127","student","TEST101","student"
"demo.student128@test.com","Demo128","Trialsen128","student","TEST101","student"
"demo.student129@test.com","Demo129","Examstad129","student","TEST101","student"
"demo.student130@test.com","Demo130","Learnset130","student","TEST101","student"
"demo.student131@test.com","Demo131","Teston131","student","TEST101","student"
"demo.student132@test.com","Demo132","Datason132","student","TEST101","student"
"demo.student133@test.com","Demo133","Dummyfield133","student","TEST101","student"
"demo.student134@test.com","Demo134","Studentberg134","student","TEST101","student"
"demo.student135@test.com","Demo135","Pupilton135","student","TEST101","student"
"demo.student136@test.com","Demo136","Samplevik136","student","TEST101","student"
"demo.student137@test.com","Demo137","Mockheim137","student","TEST101","student"
"demo.student138@test.com","Demo138","Trialsen138","student","TEST101","student"
"demo.student139@test.com","Demo139","Examstad139","student","TEST101","student"
"demo.student140@test.com","Demo140","Learnset140","student","TEST101","student"
"demo.student141@test.com","Demo141","Teston141","student","TEST101","student"
"demo.student142@test.com","Demo142","Datason142","student","TEST101","student"
"demo.student143@test.com","Demo143","Dummyfield143","student","TEST101","student"
"demo.student144@test.com","Demo144","Studentberg144","student","TEST101","student"
"demo.student145@test.com","Demo145","Pupilton145","student","TEST101","student"
"demo.student146@test.com","Demo146","Samplevik146","student","TEST101","student"
"demo.student147@test.com","Demo147","Mockheim147","student","TEST101","student"
"demo.student148@test.com","Demo148","Trialsen148","student","TEST101","student"
"demo.student149@test.com","Demo149","Examstad149","student","TEST101","student"
"demo.student150@test.com","Demo150","Learnset150","student","TEST101","student"
"demo.student151@test.com","Demo151","Teston151","student","TEST101","student"
"demo.student152@test.com","Demo152","Datason152","student","TEST101","student"
"demo.student153@test.com","Demo153","Dummyfield153","student","TEST101","student"
"demo.student154@test.com","Demo154","Studentberg154","student","TEST101","student"
"demo.student155@test.com","Demo155","Pupilton155","student","TEST101","student"
"demo.student156@test.com","Demo156","Samplevik156","student","TEST101","student"
"demo.student157@test.com","Demo157","Mockheim157","student","TEST101","student"
"demo.student158@test.com","Demo158","Trialsen158","student","TEST101","student"
"demo.student159@test.com","Demo159","Examstad159","student","TEST101","student"
"demo.student160@test.com","Demo160","Learnset160","student","TEST101","student"
"demo.student161@test.com","Demo161","Teston161","student","TEST101","student"
"demo.student162@test.com","Demo162","Datason162","student","TEST101","student"
"demo.student163@test.com","Demo163","Dummyfield163","student","TEST101","student"
"demo.student164@test.com","Demo164","Studentberg164","student","TEST101","student"
"demo.student165@test.com","Demo165","Pupilton165","student","TEST101","student"
"demo.student166@test.com","Demo166","Samplevik166","student","TEST101","student"
"demo.student167@test.com","Demo167","Mockheim167","student","TEST101","student"
"demo.student168@test.com","Demo168","Trialsen168","student","TEST101","student"
"demo.student169@test.com","Demo169","Examstad169","student","TEST101","student"
"demo.student170@test.com","Demo170","Learnset170","student","TEST101","student"
"demo.student171@test.com","Demo171","Teston171","student","TEST101","student"
"demo.student172@test.com","Demo172","Datason172","student","TEST101","student"
"demo.student173@test.com","Demo173","Dummyfield173","student","TEST101","student"
"demo.student174@test.com","Demo174","Studentberg174","student","TEST101","student"
"demo.student175@test.com","Demo175","Pupilton175","student","TEST101","student"
"demo.student176@test.com","Demo176","Samplevik176","student","TEST101","student"
"demo.student177@test.com","Demo177","Mockheim177","student","TEST101","student"
"demo.student178@test.com","Demo178","Trialsen178","student","TEST101","student"
"demo.student179@test.com","Demo179","Examstad179","student","TEST101","student"
"demo.student180@test.com","Demo180","Learnset180","student","TEST101","student"
"demo.student181@test.com","Demo181","Teston181","student","TEST101","student"
"demo.student182@test.com","Demo182","Datason182","student","TEST101","student"
"demo.student183@test.com","Demo183","Dummyfield183","student","TEST101","student"
"demo.student184@test.com","Demo184","Studentberg184","student","TEST101","student"
"demo.student185@test.com","Demo185","Pupilton185","student","TEST101","student"
"demo.student186@test.com","Demo186","Samplevik186","student","TEST101","student"
"demo.student187@test.com","Demo187","Mockheim187","student","TEST101","student"
"demo.student188@test.com","Demo188","Trialsen188","student","TEST101","student"
"demo.student189@test.com","Demo189","Examstad189","student","TEST101","student"
"demo.student190@test.com","Demo190","Learnset190","student","TEST101","student"
"demo.student191@test.com","Demo191","Teston191","student","TEST101","student"
"demo.student192@test.com","Demo192","Datason192","student","TEST101","student"
"demo.student193@test.com","Demo193","Dummyfield193","student","TEST101","student"
"demo.student194@test.com","Demo194","Studentberg194","student","TEST101","student"
"demo.student195@test.com","Demo195","Pupilton195","student","TEST101","student"
"demo.student196@test.com","Demo196","Samplevik196","student","TEST101","student"
"demo.student197@test.com","Demo197","Mockheim197","student","TEST101","student"
"demo.student198@test.com","Demo198","Trialsen198","student","TEST101","student"
"demo.student199@test.com","Demo199","Examstad199","student","TEST101","student"
"demo.student200@test.com","Demo200","Learnset200","student","TEST101","student"
"demo.student201@test.com","Demo201","Teston201","student","TEST102","student"
"demo.student202@test.com","Demo202","Datason202","student","TEST102","student"
"demo.student203@test.com","Demo203","Dummyfield203","student","TEST102","student"
"demo.student204@test.com","Demo204","Studentberg204","student","TEST102","student"
"demo.student205@test.com","Demo205","Pupilton205","student","TEST102","student"
"demo.student206@test.com","Demo206","Samplevik206","student","TEST102","student"
"demo.student207@test.com","Demo207","Mockheim207","student","TEST102","student"
"demo.student208@test.com","Demo208","Trialsen208","student","TEST102","student"
"demo.student209@test.com","Demo209","Examstad209","student","TEST102","student"
"demo.student210@test.com","Demo210","Learnset210","student","TEST102","student"
"demo.student211@test.com","Demo211","Teston211","student","TEST102","student"
"demo.student212@test.com","Demo212","Datason212","student","TEST102","student"
"demo.student213@test.com","Demo213","Dummyfield213","student","TEST102","student"
"demo.student214@test.com","Demo214","Studentberg214","student","TEST102","student"
"demo.student215@test.com","Demo215","Pupilton215","student","TEST102","student"
"demo.student216@test.com","Demo216","Samplevik216","student","TEST102","student"
"demo.student217@test.com","Demo217","Mockheim217","student","TEST102","student"
"demo.student218@test.com","Demo218","Trialsen218","student","TEST102","student"
"demo.student219@test.com","Demo219","Examstad219","student","TEST102","student"
"demo.student220@test.com","Demo220","Learnset220","student","TEST102","student"
"demo.student221@test.com","Demo221","Teston221","student","TEST102","student"
"demo.student222@test.com","Demo222","Datason222","student","TEST102","student"
"demo.student223@test.com","Demo223","Dummyfield223","student","TEST102","student"
"demo.student224@test.com","Demo224","Studentberg224","student","TEST102","student"
"demo.student225@test.com","Demo225","Pupilton225","student","TEST102","student"
"demo.student226@test.com","Demo226","Samplevik226","student","TEST102","student"
"demo.student227@test.com","Demo227","Mockheim227","student","TEST102","student"
"demo.student228@test.com","Demo228","Trialsen228","student","TEST102","student"
"demo.student229@test.com","Demo229","Examstad229","student","TEST102","student"
"demo.student230@test.com","Demo230","Learnset230","student","TEST102","student"
"demo.student231@test.com","Demo231","Teston231","student","TEST102","student"
"demo.student232@test.com","Demo232","Datason232","student","TEST102","student"
"demo.student233@test.com","Demo233","Dummyfield233","student","TEST102","student"
"demo.student234@test.com","Demo234","Studentberg234","student","TEST102","student"
"demo.student235@test.com","Demo235","Pupilton235","student","TEST102","student"
"demo.student236@test.com","Demo236","Samplevik236","student","TEST102","student"
"demo.student237@test.com","Demo237","Mockheim237","student","TEST102","student"
"demo.student238@test.com","Demo238","Trialsen238","student","TEST102","student"
"demo.student239@test.com","Demo239","Examstad239","student","TEST102","student"
"demo.student240@test.com","Demo240","Learnset240","student","TEST102","student"
"demo.student241@test.com","Demo241","Teston241","student","TEST102","student"
"demo.student242@test.com","Demo242","Datason242","student","TEST102","student"
"demo.student243@test.com","Demo243","Dummyfield243","student","TEST102","student"
"demo.student244@test.com","Demo244","Studentberg244","student","TEST102","student"
"demo.student245@test.com","Demo245","Pupilton245","student","TEST102","student"
"demo.student246@test.com","Demo246","Samplevik246","student","TEST102","student"
"demo.student247@test.com","Demo247","Mockheim247","student","TEST102","student"
"demo.student248@test.com","Demo248","Trialsen248","student","TEST102","student"
"demo.student249@test.com","Demo249","Examstad249","student","TEST102","student"
"demo.student250@test.com","Demo250","Learnset250","student","TEST102","student"
"demo.student251@test.com","Demo251","Teston251","student","TEST102","student"
"demo.student252@test.com","Demo252","Datason252","student","TEST102","student"
"demo.student253@test.com","Demo253","Dummyfield253","student","TEST102","student"
"demo.student254@test.com","Demo254","Studentberg254","student","TEST102","student"
"demo.student255@test.com","Demo255","Pupilton255","student","TEST102","student"
"demo.student256@test.com","Demo256","Samplevik256","student","TEST102","student"
"demo.student257@test.com","Demo257","Mockheim257","student","TEST102","student"
"demo.student258@test.com","Demo258","Trialsen258","student","TEST102","student"
"demo.student259@test.com","Demo259","Examstad259","student","TEST102","student"
"demo.student260@test.com","Demo260","Learnset260","student","TEST102","student"
"demo.student261@test.com","Demo261","Teston261","student","TEST102","student"
"demo.student262@test.com","Demo262","Datason262","student","TEST102","student"
"demo.student263@test.com","Demo263","Dummyfield263","student","TEST102","student"
"demo.student264@test.com","Demo264","Studentberg264","student","TEST102","student"
"demo.student265@test.com","Demo265","Pupilton265","student","TEST102","student"
"demo.student266@test.com","Demo266","Samplevik266","student","TEST102","student"
"demo.student267@test.com","Demo267","Mockheim267","student","TEST102","student"
"demo.student268@test.com","Demo268","Trialsen268","student","TEST102","student"
"demo.student269@test.com","Demo269","Examstad269","student","TEST102","student"
"demo.student270@test.com","Demo270","Learnset270","student","TEST102","student"
"demo.student271@test.com","Demo271","Teston271","student","TEST102","student"
"demo.student272@test.com","Demo272","Datason272","student","TEST102","student"
"demo.student273@test.com","Demo273","Dummyfield273","student","TEST102","student"
"demo.student274@test.com","Demo274","Studentberg274","student","TEST102","student"
"demo.student275@test.com","Demo275","Pupilton275","student","TEST102","student"
"demo.student276@test.com","Demo276","Samplevik276","student","TEST102","student"
"demo.student277@test.com","Demo277","Mockheim277","student","TEST102","student"
"demo.student278@test.com","Demo278","Trialsen278","student","TEST102","student"
"demo.student279@test.com","Demo279","Examstad279","student","TEST102","student"
"demo.student280@test.com","Demo280","Learnset280","student","TEST102","student"
"demo.student281@test.com","Demo281","Teston281","student","TEST102","student"
"demo.student282@test.com","Demo282","Datason282","student","TEST102","student"
"demo.student283@test.com","Demo283","Dummyfield283","student","TEST102","student"
"demo.student284@test.com","Demo284","Studentberg284","student","TEST102","student"
"demo.student285@test.com","Demo285","Pupilton285","student","TEST102","student"
"demo.student286@test.com","Demo286","Samplevik286","student","TEST102","student"
"demo.student287@test.com","Demo287","Mockheim287","student","TEST102","student"
"demo.student288@test.com","Demo288","Trialsen288","student","TEST102","student"
"demo.student289@test.com","Demo289","Examstad289","student","TEST102","student"
"demo.student290@test.com","Demo290","Learnset290","student","TEST102","student"
"demo.student291@test.com","Demo291","Teston291","student","TEST102","student"
"demo.student292@test.com","Demo292","Datason292","student","TEST102","student"
"demo.student293@test.com","Demo293","Dummyfield293","student","TEST102","student"
"demo.student294@test.com","Demo294","Studentberg294","student","TEST102","student"
"demo.student295@test.com","Demo295","Pupilton295","student","TEST102","student"
"demo.student296@test.com","Demo296","Samplevik296","student","TEST102","student"
"demo.student297@test.com","Demo297","Mockheim297","student","TEST102","student"
"demo.student298@test.com","Demo298","Trialsen298","student","TEST102","student"
"demo.student299@test.com","Demo299","Examstad299","student","TEST102","student"
"demo.student300@test.com","Demo300","Learnset300","student","TEST102","student"
"demo.student301@test.com","Demo301","Teston301","student","TEST102","student"
"demo.student302@test.com","Demo302","Datason302","student","TEST102","student"
"demo.student303@test.com","Demo303","Dummyfield303","student","TEST102","student"
"demo.student304@test.com","Demo304","Studentberg304","student","TEST102","student"
"demo.student305@test.com","Demo305","Pupilton305","student","TEST102","student"
"demo.student306@test.com","Demo306","Samplevik306","student","TEST102","student"
"demo.student307@test.com","Demo307","Mockheim307","student","TEST102","student"
"demo.student308@test.com","Demo308","Trialsen308","student","TEST102","student"
"demo.student309@test.com","Demo309","Examstad309","student","TEST102","student"
"demo.student310@test.com","Demo310","Learnset310","student","TEST102","student"
"demo.student311@test.com","Demo311","Teston311","student","TEST102","student"
"demo.student312@test.com","Demo312","Datason312","student","TEST102","student"
"demo.student313@test.com","Demo313","Dummyfield313","student","TEST102","student"
"demo.student314@test.com","Demo314","Studentberg314","student","TEST102","student"
"demo.student315@test.com","Demo315","Pupilton315","student","TEST102","student"
"demo.student316@test.com","Demo316","Samplevik316","student","TEST102","student"
"demo.student317@test.com","Demo317","Mockheim317","student","TEST102","student"
"demo.student318@test.com","Demo318","Trialsen318","student","TEST102","student"
"demo.student319@test.com","Demo319","Examstad319","student","TEST102","student"
"demo.student320@test.com","Demo320","Learnset320","student","TEST102","student"
"demo.student321@test.com","Demo321","Teston321","student","TEST102","student"
"demo.student322@test.com","Demo322","Datason322","student","TEST102","student"
"demo.student323@test.com","Demo323","Dummyfield323","student","TEST102","student"
"demo.student324@test.com","Demo324","Studentberg324","student","TEST102","student"
"demo.student325@test.com","Demo325","Pupilton325","student","TEST102","student"
"demo.student326@test.com","Demo326","Samplevik326","student","TEST102","student"
"demo.student327@test.com","Demo327","Mockheim327","student","TEST102","student"
"demo.student328@test.com","Demo328","Trialsen328","student","TEST102","student"
"demo.student329@test.com","Demo329","Examstad329","student","TEST102","student"
"demo.student330@test.com","Demo330","Learnset330","student","TEST102","student"
"demo.student331@test.com","Demo331","Teston331","student","TEST102","student"
"demo.student332@test.com","Demo332","Datason332","student","TEST102","student"
"demo.student333@test.com","Demo333","Dummyfield333","student","TEST102","student"
"demo.student334@test.com","Demo334","Studentberg334","student","TEST102","student"
"demo.student335@test.com","Demo335","Pupilton335","student","TEST102","student"
"demo.student336@test.com","Demo336","Samplevik336","student","TEST102","student"
"demo.student337@test.com","Demo337","Mockheim337","student","TEST102","student"
"demo.student338@test.com","Demo338","Trialsen338","student","TEST102","student"
"demo.student339@test.com","Demo339","Examstad339","student","TEST102","student"
"demo.student340@test.com","Demo340","Learnset340","student","TEST102","student"
"demo.student341@test.com","Demo341","Teston341","student","TEST102","student"
"demo.student342@test.com","Demo342","Datason342","student","TEST102","student"
"demo.student343@test.com","Demo343","Dummyfield343","student","TEST102","student"
"demo.student344@test.com","Demo344","Studentberg344","student","TEST102","student"
"demo.student345@test.com","Demo345","Pupilton345","student","TEST102","student"
"demo.student346@test.com","Demo346","Samplevik346","student","TEST102","student"
"demo.student347@test.com","Demo347","Mockheim347","student","TEST102","student"
"demo.student348@test.com","Demo348","Trialsen348","student","TEST102","student"
"demo.student349@test.com","Demo349","Examstad349","student","TEST102","student"
"demo.student350@test.com","Demo350","Learnset350","student","TEST102","student"
"demo.student351@test.com","Demo351","Teston351","student","TEST102","student"
"demo.student352@test.com","Demo352","Datason352","student","TEST102","student"
"demo.student353@test.com","Demo353","Dummyfield353","student","TEST102","student"
"demo.student354@test.com","Demo354","Studentberg354","student","TEST102","student"
"demo.student355@test.com","Demo355","Pupilton355","student","TEST102","student"
"demo.student356@test.com","Demo356","Samplevik356","student","TEST102","student"
"demo.student357@test.com","Demo357","Mockheim357","student","TEST102","student"
"demo.student358@test.com","Demo358","Trialsen358","student","TEST102","student"
"demo.student359@test.com","Demo359","Examstad359","student","TEST102","student"
"demo.student360@test.com","Demo360","Learnset360","student","TEST102","student"
"demo.student361@test.com","Demo361","Teston361","student","TEST102","student"
"demo.student362@test.com","Demo362","Datason362","student","TEST102","student"
"demo.student363@test.com","Demo363","Dummyfield363","student","TEST102","student"
"demo.student364@test.com","Demo364","Studentberg364","student","TEST102","student"
"demo.student365@test.com","Demo365","Pupilton365","student","TEST102","student"
"demo.student366@test.com","Demo366","Samplevik366","student","TEST102","student"
"demo.student367@test.com","Demo367","Mockheim367","student","TEST102","student"
"demo.student368@test.com","Demo368","Trialsen368","student","TEST102","student"
"demo.student369@test.com","Demo369","Examstad369","student","TEST102","student"
"demo.student370@test.com","Demo370","Learnset370","student","TEST102","student"
"demo.student371@test.com","Demo371","Teston371","student","TEST102","student"
"demo.student372@test.com","Demo372","Datason372","student","TEST102","student"
"demo.student373@test.com","Demo373","Dummyfield373","student","TEST102","student"
"demo.student374@test.com","Demo374","Studentberg374","student","TEST102","student"
"demo.student375@test.com","Demo375","Pupilton375","student","TEST102","student"
"demo.student376@test.com","Demo376","Samplevik376","student","TEST102","student"
"demo.student377@test.com","Demo377","Mockheim377","student","TEST102","student"
"demo.student378@test.com","Demo378","Trialsen378","student","TEST102","student"
"demo.student379@test.com","Demo379","Examstad379","student","TEST102","student"
"demo.student380@test.com","Demo380","Learnset380","student","TEST102","student"
"demo.student381@test.com","Demo381","Teston381","student","TEST102","student"
"demo.student382@test.com","Demo382","Datason382","student","TEST102","student"
"demo.student383@test.com","Demo383","Dummyfield383","student","TEST102","student"
"demo.student384@test.com","Demo384","Studentberg384","student","TEST102","student"
"demo.student385@test.com","Demo385","Pupilton385","student","TEST102","student"
"demo.student386@test.com","Demo386","Samplevik386","student","TEST102","student"
"demo.student387@test.com","Demo387","Mockheim387","student","TEST102","student"
"demo.student388@test.com","Demo388","Trialsen388","student","TEST102","student"
"demo.student389@test.com","Demo389","Examstad389","student","TEST102","student"
"demo.student390@test.com","Demo390","Learnset390","student","TEST102","student"
"demo.student391@test.com","Demo391","Teston391","student","TEST102","student"
"demo.student392@test.com","Demo392","Datason392","student","TEST102","student"
"demo.student393@test.com","Demo393","Dummyfield393","student","TEST102","student"
"demo.student394@test.com","Demo394","Studentberg394","student","TEST102","student"
"demo.student395@test.com","Demo395","Pupilton395","student","TEST102","student"
"demo.student396@test.com","Demo396","Samplevik396","student","TEST102","student"
"demo.student397@test.com","Demo397","Mockheim397","student","TEST102","student"
"demo.student398@test.com","Demo398","Trialsen398","student","TEST102","student"
"demo.student399@test.com","Demo399","Examstad399","student","TEST102","student"
"demo.student400@test.com","Demo400","Learnset400","student","TEST102","student"
"demo.teacher001@test.com","Teaching001","Mentorvik001","teacher","TEST101","teacher"
"demo.teacher002@test.com","Teaching002","Tutorstad002","teacher","TEST101","teacher"
"demo.teacher003@test.com","Teaching003","Lecturen003","teacher","TEST101","teacher"
"demo.teacher004@test.com","Teaching004","Pedagogsen004","teacher","TEST101","teacher"
"demo.teacher005@test.com","Teaching005","Guideberg005","teacher","TEST101","teacher"
"demo.teacher006@test.com","Teaching006","Instructorheim006","teacher","TEST101","teacher"
"demo.teacher007@test.com","Teaching007","Teacherton007","teacher","TEST101","teacher"
"demo.teacher008@test.com","Teaching008","Facultyvik008","teacher","TEST101","teacher"
"demo.teacher009@test.com","Teaching009","Didacticstad009","teacher","TEST101","teacher"
"demo.teacher010@test.com","Teaching010","Coachsen010","teacher","TEST101","teacher"
"demo.teacher011@test.com","Teaching011","Mentorvik011","teacher","TEST101","teacher"
"demo.teacher012@test.com","Teaching012","Tutorstad012","teacher","TEST101","teacher"
"demo.teacher013@test.com","Teaching013","Lecturen013","teacher","TEST101","teacher"
"demo.teacher014@test.com","Teaching014","Pedagogsen014","teacher","TEST101","teacher"
"demo.teacher015@test.com","Teaching015","Guideberg015","teacher","TEST101","teacher"
"demo.teacher016@test.com","Teaching016","Instructorheim016","teacher","TEST101","teacher"
"demo.teacher017@test.com","Teaching017","Teacherton017","teacher","TEST101","teacher"
"demo.teacher018@test.com","Teaching018","Facultyvik018","teacher","TEST101","teacher"
"demo.teacher019@test.com","Teaching019","Didacticstad019","teacher","TEST101","teacher"
"demo.teacher020@test.com","Teaching020","Coachsen020","teacher","TEST101","teacher"
"demo.teacher021@test.com","Teaching021","Mentorvik021","teacher","TEST101","teacher"
"demo.teacher022@test.com","Teaching022","Tutorstad022","teacher","TEST101","teacher"
"demo.teacher023@test.com","Teaching023","Lecturen023","teacher","TEST101","teacher"
